names,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,year
từ chối nhẹ nhàng thôi,Bich Phuong,58,0.698,0.5870000000000001,6,-4.3180000000000005,0,0.0569,0.7170000000000001,1.5e-06,0.192,0.569,88.006,4.1136333333333335,2020
Lối Nhỏ,Đen,41,0.634,0.47600000000000003,4,-7.7139999999999995,0,0.0393,0.84,0.00013700000000000002,0.079,0.425,184.06099999999998,4.215883333333333,2019
Bài Này Chill Phết,Đen,57,0.789,0.488,9,-5.662000000000001,0,0.297,0.32,0.0,0.0847,0.29,159.986,4.600016666666667,2019
Trời hôm nay nhiều mây cực!,Đen,52,0.775,0.828,8,-5.351,0,0.17800000000000002,0.6829999999999999,0.00043799999999999997,0.139,0.7390000000000001,74.976,4.21,2020
Cứ Chill Thôi,Chillies,61,0.7809999999999999,0.608,8,-8.452,1,0.0408,0.217,3.63e-05,0.158,0.609,101.01700000000001,4.5,2020
Thanh Xuan,Da LAB,57,0.6759999999999999,0.4,7,-10.770999999999999,0,0.0405,0.855,2.71e-06,0.124,0.34700000000000003,90.02799999999999,3.6751666666666667,2018
Em Bé,AMEE,51,0.9229999999999999,0.601,2,-4.692,1,0.0726,0.0644,0.00025299999999999997,0.0508,0.7759999999999999,129.944,3.2,2020
Ai Là Người Thương Em,Quân A.P,44,0.26,0.42100000000000004,11,-7.05,0,0.033,0.747,0.0,0.138,0.405,175.632,5.096566666666667,2019
Em Đã Thương Người Ta Hơn Anh,Noo Phước Thịnh,50,0.518,0.467,2,-8.066,1,0.0433,0.8959999999999999,0.0,0.138,0.494,134.27100000000002,4.863016666666667,2020
Tình Nào Không Như Tình Đầu,Trung Quan,52,0.626,0.428,3,-8.746,1,0.0386,0.802,0.0,0.0754,0.309,130.025,4.699333333333334,2020
Hoa Nở Không Màu,Hoài Lâm,55,0.47,0.38799999999999996,10,-6.24,0,0.0278,0.919,0.0028399999999999996,0.109,0.326,146.155,5.4684333333333335,2020
Muốn Nói Với Em,T Team,56,0.564,0.5920000000000001,0,-9.458,1,0.0449,0.525,0.0199,0.102,0.42700000000000005,147.941,3.8919,2020
Một Cú Lừa,Bich Phuong,55,0.737,0.7070000000000001,2,-3.318,0,0.0386,0.27699999999999997,0.305,0.0881,0.196,114.97200000000001,3.478266666666667,2020
em bỏ hút thuốc chưa?,Bich Phuong,55,0.6729999999999999,0.376,11,-7.886,0,0.0357,0.915,8.32e-05,0.0973,0.414,104.99700000000001,3.6,2020
"ex's hate me, Pt. 2",AMEE,55,0.653,0.40299999999999997,0,-8.279,1,0.0577,0.743,0.0,0.141,0.39799999999999996,80.056,3.6083333333333334,2020
Vùng Ký Ức,Chillies,52,0.48700000000000004,0.735,7,-6.986000000000001,1,0.0279,0.0146,0.00425,0.0995,0.451,98.025,4.9702,2020
Ngày Tận Thế,Tóc Tiên,51,0.602,0.8290000000000001,8,-4.49,1,0.304,0.752,0.0,0.35700000000000004,0.61,89.98899999999999,3.8694333333333333,2020
yêu thì yêu không yêu thì yêu,AMEE,47,0.9279999999999999,0.48200000000000004,0,-5.499,1,0.195,0.439,1.13e-06,0.0422,0.667,139.96,3.1714333333333333,2020
sao anh chưa về nhà,AMEE,50,0.747,0.601,4,-8.134,1,0.0395,0.29600000000000004,2.57e-05,0.0912,0.21100000000000002,106.027,4.066666666666666,2020
So Rang Em Biet Anh Con Yeu Em,JUUN D,51,0.56,0.452,11,-8.443,0,0.0332,0.7190000000000001,0.0,0.11199999999999999,0.318,127.87299999999999,5.375083333333333,2020
Khác Biệt To Lớn,Trinh Thang Binh,37,0.742,0.601,11,-8.132,0,0.0556,0.767,0.0,0.479,0.496,95.029,4.0,2020
De Mi Noi Cho Ma Nghe,Hoang Thuy Linh,48,0.7070000000000001,0.851,0,-3.6839999999999997,1,0.0654,0.465,2.92e-06,0.138,0.738,155.966,3.2312833333333333,2019
Ke Cap Gap Ba Gia (feat. BINZ),Hoang Thuy Linh,58,0.723,0.527,3,-6.355,0,0.0379,0.613,0.0265,0.385,0.49700000000000005,99.965,3.858416666666667,2019
Duyen Am,Hoang Thuy Linh,51,0.75,0.649,4,-5.15,1,0.0437,0.475,0.00038199999999999996,0.19,0.402,99.99700000000001,2.99235,2019
Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,49,0.6659999999999999,0.49200000000000005,7,-8.214,0,0.0504,0.6809999999999999,0.00436,0.131,0.6829999999999999,87.99600000000001,3.575,2019
Lam Moi Toi Ngoi Khong,Hoang Thuy Linh,42,0.866,0.644,9,-7.45,0,0.0479,0.777,0.00577,0.429,0.7879999999999999,122.976,3.244083333333333,2019
"Em Không Sai, Chúng Ta Sai",ERIK,54,0.49,0.485,1,-6.632000000000001,1,0.0359,0.684,0.0,0.12,0.32899999999999996,170.063,4.858816666666667,2020
Cần Gì Hơn,Tien Tien,47,0.711,0.5589999999999999,11,-7.891,1,0.0447,0.5760000000000001,5.89e-06,0.11,0.68,93.022,3.448166666666667,2020
