names,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Một Giấc Mơ (feat. Kimmese),Indie/Hip Hop,0.674,0.474,0,-6.662000000000001,1,0.0374,0.523,2.4100000000000003e-05,0.294,0.44799999999999995,132.968,227487
ĐÃ TỪNG LÀ,Indie/Hip Hop,0.46799999999999997,0.505,0,-8.436,1,0.0438,0.655,0.00011599999999999999,0.0711,0.16899999999999998,79.923,260507
Her Summer,Indie/Hip Hop,0.5479999999999999,0.48100000000000004,2,-10.049,1,0.0408,0.758,4.23e-06,0.10300000000000001,0.244,139.911,224589
Lạ Lùng,Indie/Hip Hop,0.612,0.212,0,-9.857000000000001,1,0.0336,0.958,0.0018100000000000002,0.131,0.223,126.22399999999999,261590
Đông Kiếm Em,Indie/Hip Hop,0.535,0.0646,2,-15.395,1,0.0381,0.9540000000000001,0.000102,0.1,0.14300000000000002,134.584,246043
Cô Gái M52,Indie/Hip Hop,0.966,0.644,5,-9.389,0,0.0755,0.21600000000000003,0.0,0.0941,0.94,110.012,213333
They Said,Indie/Hip Hop,0.773,0.767,9,-3.065,0,0.15,0.435,0.000105,0.0951,0.536,172.08,234419
Hai Triệu Năm,Indie/Hip Hop,0.9390000000000001,0.526,6,-7.3229999999999995,0,0.281,0.542,1.18e-06,0.102,0.456,102.012,216472
Anh Đếch Cần Gì Nhiều Ngoài Em,Indie/Hip Hop,0.82,0.276,6,-9.715,0,0.0418,0.85,0.0,0.124,0.332,97.39,217134
Mười Năm (Lộn Xộn 3),Indie/Hip Hop,0.7240000000000001,0.674,1,-5.751,0,0.12300000000000001,0.649,0.349,0.201,0.17,89.963,257560
Đi Theo Bóng Mặt Trời,Indie/Hip Hop,0.687,0.495,9,-10.036,1,0.345,0.754,0.0,0.251,0.51,77.407,162102
Ngày Khác Lạ,Indie/Hip Hop,0.653,0.782,1,-3.588,0,0.0427,0.0987,0.0,0.115,0.25,137.959,212174
Làm Gì Phải Hốt,Indie/Hip Hop,0.932,0.609,10,-6.428999999999999,0,0.133,0.292,0.0,0.055999999999999994,0.612,140.054,189297
Cho Tôi Lang Thang,Indie/Hip Hop,0.7559999999999999,0.626,8,-8.639,1,0.0729,0.17300000000000001,0.0,0.16399999999999998,0.596,90.083,258785
Em Dạo Này,Indie/Hip Hop,0.41700000000000004,0.35600000000000004,9,-8.747,1,0.0351,0.752,0.0,0.19399999999999998,0.341,158.112,201828
LẦN CUỐI (đi bên em xót xa người ơi),Indie/Hip Hop,0.273,0.28300000000000003,0,-10.462,1,0.0278,0.6679999999999999,5.17e-06,0.0941,0.138,169.56,222847
CHUYỂN KÊNH (sản phẩm này không phải là thuốc),Indie/Hip Hop,0.797,0.45,9,-8.311,0,0.036000000000000004,0.348,5.49e-06,0.0908,0.617,130.076,273807
"Bài Ka Tuổi Trẻ (feat. Vũ Bùi Thu Thủy, Linh Cáo & Mel G)",Indie/Hip Hop,0.779,0.8809999999999999,10,-3.793,1,0.28,0.71,0.0,0.0815,0.728,77.503,229682
Đi Để Trở Về,Pop/Ballad,0.733,0.43200000000000005,7,-9.624,1,0.0292,0.495,0.0,0.193,0.6729999999999999,95.988,202084
Sáng Mắt Chưa,Pop/Ballad,0.7959999999999999,0.738,10,-7.294,1,0.102,0.156,0.0,0.303,0.8190000000000001,144.032,208123
Đâu Cần Một Bài Ca Tình Yêu,Pop/Ballad,0.524,0.6629999999999999,11,-5.473,1,0.0732,0.69,8.71e-05,0.0824,0.5670000000000001,93.381,195514
Thương Nhiều Hơn Nói,Pop/Ballad,0.8540000000000001,0.787,11,-6.492000000000001,0,0.0711,0.727,0.0239,0.14400000000000002,0.961,140.043,178353
Quan Trong La Than Thai - Original,Indie/Hip Hop,0.877,0.7759999999999999,9,-4.75,0,0.0704,0.33799999999999997,0.0,0.0852,0.82,120.00200000000001,240000
Gene,Indie/Hip Hop,0.82,0.902,11,-1.665,0,0.121,0.196,9.7e-05,0.34700000000000003,0.629,100.00399999999999,228000
So Close,Indie/Hip Hop,0.785,0.785,7,-4.401,1,0.14800000000000002,0.34,6.55e-06,0.12,0.337,95.036,199579
Đường Một Chiều,Pop/Ballad,0.462,0.505,3,-6.129,1,0.0324,0.86,0.00035099999999999997,0.2,0.33299999999999996,132.61,286999
Có Chàng Trai Viết Lên Cây,Pop/Ballad,0.516,0.446,0,-9.384,0,0.0345,0.9690000000000001,0.00041500000000000006,0.128,0.14400000000000002,88.803,305786
1 Phút,Pop/Ballad,0.42,0.36,1,-6.006,1,0.0288,0.9540000000000001,0.00123,0.113,0.423,135.755,375989
Khi Co Don Em Nho Ai,Pop/Ballad,0.763,0.34,0,-11.699000000000002,1,0.0392,0.8190000000000001,0.0,0.08199999999999999,0.514,95.945,261668
Say Goodbye,Pop/Ballad,0.6659999999999999,0.484,9,-6.8420000000000005,1,0.027999999999999997,0.433,0.0,0.0759,0.39399999999999996,105.007,246857
